dateTime, close
2013-01-02,67.2
2013-01-03,66.85
2013-01-04,66.63
2013-01-07,66.65
2013-01-08,66.52
2013-01-09,66.77
2013-01-10,67.17
2013-01-11,67.26
2013-01-14,66.96
2013-01-15,66.63
2013-01-16,66.9
2013-01-17,67.22
2013-01-18,67.07
2013-01-22,67.18
2013-01-23,67.59
2013-01-24,66.66
2013-01-25,67
2013-01-28,67.15
2013-01-29,67.16
2013-01-30,67.02
2013-01-31,66.87
2013-02-01,67.66
2013-02-04,66.48
2013-02-05,67.46
2013-02-06,67.24
2013-02-07,67.3
2013-02-08,67.99
2013-02-11,68.01
2013-02-12,67.73
2013-02-13,67.97
2013-02-14,67.95
2013-02-15,67.75
2013-02-19,68.24
2013-02-20,67.19
2013-02-21,66.47
2013-02-22,67.14
2013-02-25,66.31
2013-02-26,66.56
2013-02-27,67.24
2013-02-28,67.1
2013-03-01,67.38
2013-03-04,67.68
2013-03-05,68.68
2013-03-06,68.51
2013-03-07,68.69
2013-03-08,68.77
2013-03-11,68.97
2013-03-12,68.72
2013-03-13,68.63
2013-03-14,68.86
2013-03-15,68.51
2013-03-18,68.36
2013-03-19,68.23
2013-03-20,68.71
2013-03-21,67.93
2013-03-22,68.59
2013-03-25,68.34
2013-03-26,68.71
2013-03-27,68.8
2013-03-28,68.97
2013-04-01,68.5
2013-04-02,69.04
2013-04-03,68.41
2013-04-04,68.43
2013-04-05,67.86
2013-04-08,68.22
2013-04-09,68.68
2013-04-10,70.02
2013-04-11,69.99
2013-04-12,69.94
2013-04-15,68.56
2013-04-16,69.47
2013-04-17,68.12
2013-04-18,67.17
2013-04-19,68.09
2013-04-22,68.79
2013-04-23,69.45
2013-04-24,69.42
2013-04-25,69.79
2013-04-26,69.57
2013-04-29,70.21
2013-04-30,70.72
2013-05-01,70.39
2013-05-02,71.28
2013-05-03,72.12
2013-05-06,72.4
2013-05-07,72.36
2013-05-08,72.71
2013-05-09,72.61
2013-05-10,73.05
2013-05-13,73.14
2013-05-14,73.52
2013-05-15,73.67
2013-05-16,73.59
2013-05-17,74.3
2013-05-20,74.19
2013-05-21,74.27
2013-05-22,73.62
2013-05-23,73.45
2013-05-24,73.41
2013-05-28,73.89
2013-05-29,73.54
2013-05-30,73.93
2013-05-31,73.25
2013-06-03,73.38
2013-06-04,73
2013-06-05,72.05
2013-06-06,72.4
2013-06-07,73.39
2013-06-10,73.42
2013-06-11,72.69
2013-06-12,71.85
2013-06-13,72.76
2013-06-14,72.28
2013-06-17,72.98
2013-06-18,73.58
2013-06-19,72.76
2013-06-20,71.02
2013-06-21,70.43
2013-06-24,69.73
2013-06-25,70.24
2013-06-26,70.87
2013-06-27,71.17
2013-06-28,71.27
2013-07-01,71.71
2013-07-02,71.74
2013-07-03,72.03
2013-07-05,72.58
2013-07-08,72.65
2013-07-09,73.09
2013-07-10,73.51
2013-07-11,74.97
2013-07-12,75.3
2013-07-15,75.47
2013-07-16,75.37
2013-07-17,75.56
2013-07-18,75.37
2013-07-19,74.59
2013-07-22,74.81
2013-07-23,74.26
2013-07-24,74.5
2013-07-25,74.97
2013-07-26,75.37
2013-07-29,75.23
2013-07-30,75.63
2013-07-31,75.77
2013-08-01,76.54
2013-08-02,76.97
2013-08-05,77.02
2013-08-06,76.56
2013-08-07,76.42
2013-08-08,76.8
2013-08-09,76.49
2013-08-12,76.67
2013-08-13,77.1
2013-08-14,76.81
2013-08-15,75.51
2013-08-16,75.48
2013-08-19,75.35
2013-08-20,75.68
2013-08-21,75.42
2013-08-22,76.16
2013-08-23,76.67
2013-08-26,76.71
2013-08-27,75.14
2013-08-28,75.43
2013-08-29,75.96
2013-08-30,75.47
2013-09-03,75.9
2013-09-04,76.71
2013-09-05,76.84
2013-09-06,76.93
2013-09-09,77.83
2013-09-10,78.21
2013-09-11,78.06
2013-09-12,78.01
2013-09-13,78.06
2013-09-16,77.85
2013-09-17,78.37
2013-09-18,79.31
2013-09-19,79.5
2013-09-20,78.98
2013-09-23,78.83
2013-09-24,78.83
2013-09-25,78.56
2013-09-26,79.17
2013-09-27,79.07
2013-09-30,78.88
2013-10-01,79.68
2013-10-02,79.65
2013-10-03,78.72
2013-10-04,79.4
2013-10-07,78.74
2013-10-08,77.22
2013-10-09,76.98
2013-10-10,78.61
2013-10-11,79.23
2013-10-14,79.79
2013-10-15,79.48
2013-10-16,80.38
2013-10-17,80.84
2013-10-18,82.15
2013-10-21,82.33
2013-10-22,82.45
2013-10-23,81.95
2013-10-24,82.31
2013-10-25,82.9
2013-10-28,82.92
2013-10-29,83.06
2013-10-30,82.98
2013-10-31,82.79
2013-11-01,82.81
2013-11-04,82.93
2013-11-05,83.02
2013-11-06,83
2013-11-07,81.44
2013-11-08,82.54
2013-11-11,82.41
2013-11-12,82.54
2013-11-13,83.54
2013-11-14,83.8
2013-11-15,83.96
2013-11-18,83.14
2013-11-19,82.9
2013-11-20,82.7
2013-11-21,83.54
2013-11-22,83.99
2013-11-25,84.19
2013-11-26,84.63
2013-11-27,85.22
2013-11-29,85.73
2013-12-02,85.48
2013-12-03,85.41
2013-12-04,85.49
2013-12-05,85.38
2013-12-06,86
2013-12-09,86.35
2013-12-10,86.29
2013-12-11,85.18
2013-12-12,84.96
2013-12-13,84.85
2013-12-16,85.32
2013-12-17,85.15
2013-12-18,86.14
2013-12-19,85.9
