dateTime, close
2013-01-02,45.22
2013-01-03,44.9
2013-01-04,44.99
2013-01-07,44.65
2013-01-08,44.25
2013-01-09,44.44
2013-01-10,44.82
2013-01-11,44.47
2013-01-14,44.66
2013-01-15,44.47
2013-01-16,44.43
2013-01-17,44.68
2013-01-18,44.78
2013-01-22,44.7
2013-01-23,44.47
2013-01-24,44.31
2013-01-25,44.16
2013-01-28,43.85
2013-01-29,44.34
2013-01-30,44.13
2013-01-31,44.22
2013-02-01,44.5
2013-02-04,43.92
2013-02-05,43.97
2013-02-06,43.92
2013-02-07,43.53
2013-02-08,43.85
2013-02-11,43.83
2013-02-12,43.95
2013-02-13,44.17
2013-02-14,44.14
2013-02-15,43.99
2013-02-19,44.08
2013-02-20,43.68
2013-02-21,43.09
2013-02-22,43.28
2013-02-25,42.7
2013-02-26,42.94
2013-02-27,43.41
2013-02-28,43.2
2013-03-01,43.31
2013-03-04,42.9
2013-03-05,43.42
2013-03-06,43.63
2013-03-07,43.75
2013-03-08,44.13
2013-03-11,43.89
2013-03-12,43.39
2013-03-13,42.98
2013-03-14,43.16
2013-03-15,42.77
2013-03-18,42.28
2013-03-19,41.99
2013-03-20,42.23
2013-03-21,41.8
2013-03-22,41.96
2013-03-25,41.92
2013-03-26,42.52
2013-03-27,42.68
2013-03-28,42.77
2013-04-01,42.31
2013-04-02,42.32
2013-04-03,41.83
2013-04-04,41.71
2013-04-05,41.61
2013-04-08,41.68
2013-04-09,42.09
2013-04-10,42.5
2013-04-11,42.52
2013-04-12,41.88
2013-04-15,40.86
2013-04-16,41.7
2013-04-17,41.04
2013-04-18,41.04
2013-04-19,41.64
2013-04-22,41.84
2013-04-23,42.04
2013-04-24,42.3
2013-04-25,42.67
2013-04-26,42.24
2013-04-29,42.68
2013-04-30,43.29
2013-05-01,42.82
2013-05-02,43.16
2013-05-03,43.52
2013-05-06,43.58
2013-05-07,43.89
2013-05-08,44.23
2013-05-09,43.91
2013-05-10,43.57
2013-05-13,43.17
2013-05-14,43.37
2013-05-15,43.38
2013-05-16,43.23
2013-05-17,43.42
2013-05-20,43.53
2013-05-21,43.44
2013-05-22,42.96
2013-05-23,42.64
2013-05-24,42.26
2013-05-28,42.5
2013-05-29,41.96
2013-05-30,41.96
2013-05-31,41.2
2013-06-03,41.81
2013-06-04,41.3
2013-06-05,40.56
2013-06-06,40.9
2013-06-07,40.69
2013-06-10,40.14
2013-06-11,39.38
2013-06-12,39.11
2013-06-13,39.94
2013-06-14,39.31
2013-06-17,39.67
2013-06-18,39.84
2013-06-19,38.61
2013-06-20,36.88
2013-06-21,37.41
2013-06-24,36.65
