Index, Open, High, Low, Close, Volume, nBuys, nSells, ProbNoNews, ProbBadNews, ProbGoodNews, Alpha, Delta, EpsSell, EpsBuy, Mu, BPIN, DaysMeasured
2018-08-28, 21.40, 21.50, 21.30, 21.40, 107927.00, 64.00, 51.00, 1.00, 0.00, 0.00, 0.35, 0.26, 74.21, 84.31, 119.97, 0.20, 24
2018-08-29, 21.40, 21.45, 21.25, 21.35, 76832.00, 64.00, 75.00, 1.00, 0.00, 0.00, 0.35, 0.26, 74.06, 84.22, 122.96, 0.20, 24
2018-08-30, 21.40, 21.75, 21.35, 21.35, 63382.00, 109.00, 70.00, 0.96, 0.00, 0.04, 0.34, 0.26, 73.76, 84.13, 125.97, 0.21, 24
2018-08-31, 21.35, 21.65, 21.30, 21.55, 108538.00, 76.00, 55.00, 1.00, 0.00, 0.00, 0.34, 0.26, 73.67, 83.41, 129.35, 0.21, 24
2018-09-03, 21.60, 21.95, 21.55, 21.85, 109468.00, 138.00, 97.00, 0.58, 0.00, 0.42, 0.34, 0.26, 73.67, 82.67, 132.83, 0.22, 24
2018-09-04, 21.75, 21.90, 21.75, 21.85, 33344.00, 64.00, 35.00, 1.00, 0.00, 0.00, 0.34, 0.27, 73.46, 82.41, 136.33, 0.23, 24
2018-09-05, 21.80, 21.80, 20.90, 21.10, 162670.00, 218.00, 80.00, 0.00, 0.00, 1.00, 0.34, 0.27, 73.40, 82.31, 139.41, 0.23, 24
2018-09-06, 21.10, 21.30, 20.15, 20.35, 198850.00, 144.00, 151.00, 0.00, 0.78, 0.22, 0.34, 0.29, 73.39, 82.48, 142.46, 0.24, 24
2018-09-07, 20.30, 20.35, 18.52, 19.06, 410811.00, 341.00, 174.00, 0.00, 0.00, 1.00, 0.34, 0.30, 73.52, 82.55, 145.71, 0.24, 24
2018-09-10, 19.22, 19.94, 19.10, 19.20, 142665.00, 410.00, 70.00, 0.00, 0.00, 1.00, 0.33, 0.31, 74.16, 83.71, 156.17, 0.25, 24
2018-09-11, 19.26, 19.34, 18.86, 19.04, 93069.00, 69.00, 89.00, 1.00, 0.00, 0.00, 0.33, 0.33, 74.99, 85.19, 169.69, 0.25, 24
2018-09-12, 19.18, 19.26, 18.98, 19.18, 91854.00, 109.00, 62.00, 1.00, 0.00, 0.00, 0.33, 0.35, 76.10, 86.66, 182.85, 0.25, 24
2018-09-13, 19.12, 19.40, 19.12, 19.20, 63007.00, 56.00, 50.00, 1.00, 0.00, 0.00, 0.33, 0.37, 77.25, 88.02, 194.84, 0.26, 24
2018-09-14, 19.20, 19.56, 19.00, 19.52, 147609.00, 75.00, 101.00, 1.00, 0.00, 0.00, 0.32, 0.38, 78.74, 89.94, 207.11, 0.26, 24
2018-09-17, 19.40, 19.86, 19.24, 19.30, 373789.00, 364.00, 48.00, 0.00, 0.00, 1.00, 0.32, 0.40, 80.06, 92.29, 219.66, 0.27, 24
2018-09-18, 19.36, 19.36, 19.20, 19.32, 52946.00, 52.00, 28.00, 1.00, 0.00, 0.00, 0.32, 0.43, 81.37, 94.56, 232.59, 0.27, 24
2018-09-19, 19.34, 19.42, 19.10, 19.20, 102536.00, 121.00, 163.00, 0.33, 0.67, 0.00, 0.32, 0.45, 82.91, 97.01, 245.36, 0.27, 24
2018-09-20, 19.26, 19.42, 19.22, 19.34, 55713.00, 36.00, 45.00, 1.00, 0.00, 0.00, 0.31, 0.47, 84.30, 99.56, 258.72, 0.27, 24
2018-09-21, 19.24, 19.42, 19.10, 19.34, 114208.00, 40.00, 130.00, 0.96, 0.04, 0.00, 0.31, 0.48, 84.97, 99.89, 263.56, 0.28, 23
2018-09-24, 19.18, 19.40, 19.18, 19.32, 97687.00, 34.00, 116.00, 1.00, 0.00, 0.00, 0.31, 0.49, 85.57, 100.31, 268.94, 0.28, 22
2018-09-25, 19.20, 19.40, 19.04, 19.06, 125425.00, 24.00, 58.00, 1.00, 0.00, 0.00, 0.31, 0.49, 86.19, 100.99, 274.58, 0.28, 21
2018-09-26, 19.06, 19.26, 18.52, 18.64, 243244.00, 151.00, 51.00, 0.45, 0.00, 0.55, 0.31, 0.50, 86.92, 102.04, 280.54, 0.28, 20
2018-09-27, 18.88, 18.98, 18.54, 18.54, 138548.00, 53.00, 114.00, 1.00, 0.00, 0.00, 0.31, 0.51, 87.95, 103.20, 287.61, 0.29, 19
2018-09-28, 18.52, 18.70, 18.40, 18.70, 150041.00, 57.00, 119.00, 1.00, 0.00, 0.00, 0.31, 0.52, 88.91, 104.63, 295.15, 0.29, 18
2018-10-01, 18.60, 18.92, 18.56, 18.70, 133539.00, 62.00, 31.00, 1.00, 0.00, 0.00, 0.31, 0.53, 89.58, 106.79, 303.53, 0.29, 17
2018-10-02, 18.70, 19.70, 18.66, 19.00, 268596.00, 57.00, 50.00, 1.00, 0.00, 0.00, 0.30, 0.55, 90.43, 109.18, 312.94, 0.29, 16
2018-10-03, 19.18, 19.18, 18.84, 19.00, 149290.00, 30.00, 177.00, 0.60, 0.40, 0.00, 0.30, 0.57, 91.58, 111.75, 323.69, 0.29, 15
2018-10-04, 20.10, 20.25, 19.36, 19.36, 417765.00, 283.00, 92.00, 0.57, 0.00, 0.43, 0.29, 0.59, 92.71, 115.27, 335.96, 0.29, 14
2018-10-05, 19.46, 19.70, 18.70, 18.82, 142856.00, 158.00, 212.00, 0.69, 0.31, 0.00, 0.29, 0.62, 93.91, 119.37, 349.67, 0.29, 13
2018-10-08, 18.66, 18.82, 18.50, 18.60, 111204.00, 177.00, 73.00, 0.75, 0.00, 0.25, 0.27, 0.64, 95.75, 123.21, 365.76, 0.29, 12
2018-10-09, 18.70, 18.70, 18.50, 18.70, 164814.00, 202.00, 335.00, 0.00, 1.00, 0.00, 0.26, 0.66, 97.69, 127.81, 385.21, 0.28, 11
2018-10-10, 18.58, 18.70, 18.30, 18.42, 122555.00, 151.00, 140.00, 0.90, 0.00, 0.10, 0.24, 0.68, 100.00, 132.60, 407.96, 0.28, 10
2018-10-11, 21.55, 26.00, 21.55, 24.75, 2844493.00, 551.00, 1235.00, 0.00, 1.00, 0.00, 0.21, 0.71, 102.39, 139.04, 435.60, 0.27, 9
2018-10-12, 24.70, 26.75, 23.85, 26.25, 2326493.00, 558.00, 809.00, 0.00, 1.00, 0.00, 0.21, 0.75, 103.29, 143.77, 446.38, 0.27, 8
2018-10-15, 26.05, 26.45, 24.55, 24.80, 338104.00, 154.00, 228.00, 1.00, 0.00, 0.00, 0.21, 0.76, 104.41, 145.96, 444.43, 0.27, 7
2018-10-16, 24.70, 25.45, 24.70, 25.30, 511072.00, 190.00, 399.00, 0.00, 1.00, 0.00, 0.21, 0.77, 104.78, 148.29, 442.91, 0.27, 6
2018-10-17, 25.40, 25.65, 24.75, 25.20, 254698.00, 268.00, 147.00, 1.00, 0.00, 0.00, 0.21, 0.79, 104.92, 150.86, 446.47, 0.27, 5
2018-10-18, 24.90, 25.30, 24.90, 25.05, 110515.00, 183.00, 16.00, 1.00, 0.00, 0.00, 0.20, 0.80, 103.91, 152.55, 453.04, 0.26, 4
2018-10-19, 25.00, 25.10, 23.80, 24.15, 141828.00, 119.00, 37.00, 1.00, 0.00, 0.00, 0.19, 0.83, 103.63, 153.90, 462.87, 0.26, 3
2018-10-22, 24.70, 24.70, 23.45, 23.50, 137852.00, 149.00, 96.00, 1.00, 0.00, 0.00, 0.19, 0.83, 104.26, 156.14, 462.25, 0.25, 2
2018-10-23, 23.25, 23.35, 20.70, 21.55, 270676.00, 262.00, 108.00, 1.00, 0.00, 0.00, 0.19, 0.83, 102.90, 158.95, 463.67, 0.26, 1
2018-10-24, 21.95, 23.00, 21.85, 22.50, 225428.00, 211.00, 109.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0
